date_id,full_date,year,quarter,month,month_name,day,day_of_year,day_of_week,week_of_year,day_name,quarter_name,month_abbr,year_month
20200225,2020-02-25,2020,1,2,February,25,56,2,9,Tuesday,Q1,Feb,2020-02
20200226,2020-02-26,2020,1,2,February,26,57,3,9,Wednesday,Q1,Feb,2020-02
20200227,2020-02-27,2020,1,2,February,27,58,4,9,Thursday,Q1,Feb,2020-02
20200228,2020-02-28,2020,1,2,February,28,59,5,9,Friday,Q1,Feb,2020-02
20200229,2020-02-29,2020,1,2,February,29,60,6,9,Saturday,Q1,Feb,2020-02
20200301,2020-03-01,2020,1,3,March,1,61,7,9,Sunday,Q1,Mar,2020-03
20200302,2020-03-02,2020,1,3,March,2,62,1,10,Monday,Q1,Mar,2020-03
20200303,2020-03-03,2020,1,3,March,3,63,2,10,Tuesday,Q1,Mar,2020-03
20200304,2020-03-04,2020,1,3,March,4,64,3,10,Wednesday,Q1,Mar,2020-03
20200305,2020-03-05,2020,1,3,March,5,65,4,10,Thursday,Q1,Mar,2020-03
20200306,2020-03-06,2020,1,3,March,6,66,5,10,Friday,Q1,Mar,2020-03
20200307,2020-03-07,2020,1,3,March,7,67,6,10,Saturday,Q1,Mar,2020-03
20200308,2020-03-08,2020,1,3,March,8,68,7,10,Sunday,Q1,Mar,2020-03
20200309,2020-03-09,2020,1,3,March,9,69,1,11,Monday,Q1,Mar,2020-03
20200310,2020-03-10,2020,1,3,March,10,70,2,11,Tuesday,Q1,Mar,2020-03
20200311,2020-03-11,2020,1,3,March,11,71,3,11,Wednesday,Q1,Mar,2020-03
20200312,2020-03-12,2020,1,3,March,12,72,4,11,Thursday,Q1,Mar,2020-03
20200313,2020-03-13,2020,1,3,March,13,73,5,11,Friday,Q1,Mar,2020-03
20200314,2020-03-14,2020,1,3,March,14,74,6,11,Saturday,Q1,Mar,2020-03
20200315,2020-03-15,2020,1,3,March,15,75,7,11,Sunday,Q1,Mar,2020-03
20200316,2020-03-16,2020,1,3,March,16,76,1,12,Monday,Q1,Mar,2020-03
20200317,2020-03-17,2020,1,3,March,17,77,2,12,Tuesday,Q1,Mar,2020-03
20200318,2020-03-18,2020,1,3,March,18,78,3,12,Wednesday,Q1,Mar,2020-03
20200319,2020-03-19,2020,1,3,March,19,79,4,12,Thursday,Q1,Mar,2020-03
20200320,2020-03-20,2020,1,3,March,20,80,5,12,Friday,Q1,Mar,2020-03
20200321,2020-03-21,2020,1,3,March,21,81,6,12,Saturday,Q1,Mar,2020-03
20200322,2020-03-22,2020,1,3,March,22,82,7,12,Sunday,Q1,Mar,2020-03
20200323,2020-03-23,2020,1,3,March,23,83,1,13,Monday,Q1,Mar,2020-03
20200324,2020-03-24,2020,1,3,March,24,84,2,13,Tuesday,Q1,Mar,2020-03
20200325,2020-03-25,2020,1,3,March,25,85,3,13,Wednesday,Q1,Mar,2020-03
20200326,2020-03-26,2020,1,3,March,26,86,4,13,Thursday,Q1,Mar,2020-03
20200327,2020-03-27,2020,1,3,March,27,87,5,13,Friday,Q1,Mar,2020-03
20200328,2020-03-28,2020,1,3,March,28,88,6,13,Saturday,Q1,Mar,2020-03
20200329,2020-03-29,2020,1,3,March,29,89,7,13,Sunday,Q1,Mar,2020-03
20200330,2020-03-30,2020,1,3,March,30,90,1,14,Monday,Q1,Mar,2020-03
20200331,2020-03-31,2020,1,3,March,31,91,2,14,Tuesday,Q1,Mar,2020-03
20200401,2020-04-01,2020,2,4,April,1,92,3,14,Wednesday,Q2,Apr,2020-04
20200402,2020-04-02,2020,2,4,April,2,93,4,14,Thursday,Q2,Apr,2020-04
20200403,2020-04-03,2020,2,4,April,3,94,5,14,Friday,Q2,Apr,2020-04
20200404,2020-04-04,2020,2,4,April,4,95,6,14,Saturday,Q2,Apr,2020-04
20200405,2020-04-05,2020,2,4,April,5,96,7,14,Sunday,Q2,Apr,2020-04
20200406,2020-04-06,2020,2,4,April,6,97,1,15,Monday,Q2,Apr,2020-04
20200407,2020-04-07,2020,2,4,April,7,98,2,15,Tuesday,Q2,Apr,2020-04
20200408,2020-04-08,2020,2,4,April,8,99,3,15,Wednesday,Q2,Apr,2020-04
20200409,2020-04-09,2020,2,4,April,9,100,4,15,Thursday,Q2,Apr,2020-04
20200410,2020-04-10,2020,2,4,April,10,101,5,15,Friday,Q2,Apr,2020-04
20200411,2020-04-11,2020,2,4,April,11,102,6,15,Saturday,Q2,Apr,2020-04
20200412,2020-04-12,2020,2,4,April,12,103,7,15,Sunday,Q2,Apr,2020-04
20200413,2020-04-13,2020,2,4,April,13,104,1,16,Monday,Q2,Apr,2020-04
20200414,2020-04-14,2020,2,4,April,14,105,2,16,Tuesday,Q2,Apr,2020-04
20200415,2020-04-15,2020,2,4,April,15,106,3,16,Wednesday,Q2,Apr,2020-04
20200416,2020-04-16,2020,2,4,April,16,107,4,16,Thursday,Q2,Apr,2020-04
20200417,2020-04-17,2020,2,4,April,17,108,5,16,Friday,Q2,Apr,2020-04
20200418,2020-04-18,2020,2,4,April,18,109,6,16,Saturday,Q2,Apr,2020-04
20200419,2020-04-19,2020,2,4,April,19,110,7,16,Sunday,Q2,Apr,2020-04
20200420,2020-04-20,2020,2,4,April,20,111,1,17,Monday,Q2,Apr,2020-04
20200421,2020-04-21,2020,2,4,April,21,112,2,17,Tuesday,Q2,Apr,2020-04
20200422,2020-04-22,2020,2,4,April,22,113,3,17,Wednesday,Q2,Apr,2020-04
20200423,2020-04-23,2020,2,4,April,23,114,4,17,Thursday,Q2,Apr,2020-04
20200424,2020-04-24,2020,2,4,April,24,115,5,17,Friday,Q2,Apr,2020-04
20200425,2020-04-25,2020,2,4,April,25,116,6,17,Saturday,Q2,Apr,2020-04
20200426,2020-04-26,2020,2,4,April,26,117,7,17,Sunday,Q2,Apr,2020-04
20200427,2020-04-27,2020,2,4,April,27,118,1,18,Monday,Q2,Apr,2020-04
20200428,2020-04-28,2020,2,4,April,28,119,2,18,Tuesday,Q2,Apr,2020-04
20200429,2020-04-29,2020,2,4,April,29,120,3,18,Wednesday,Q2,Apr,2020-04
20200430,2020-04-30,2020,2,4,April,30,121,4,18,Thursday,Q2,Apr,2020-04
20200501,2020-05-01,2020,2,5,May,1,122,5,18,Friday,Q2,May,2020-05
20200502,2020-05-02,2020,2,5,May,2,123,6,18,Saturday,Q2,May,2020-05
20200503,2020-05-03,2020,2,5,May,3,124,7,18,Sunday,Q2,May,2020-05
20200504,2020-05-04,2020,2,5,May,4,125,1,19,Monday,Q2,May,2020-05
20200505,2020-05-05,2020,2,5,May,5,126,2,19,Tuesday,Q2,May,2020-05
20200506,2020-05-06,2020,2,5,May,6,127,3,19,Wednesday,Q2,May,2020-05
20200507,2020-05-07,2020,2,5,May,7,128,4,19,Thursday,Q2,May,2020-05
20200508,2020-05-08,2020,2,5,May,8,129,5,19,Friday,Q2,May,2020-05
20200509,2020-05-09,2020,2,5,May,9,130,6,19,Saturday,Q2,May,2020-05
20200510,2020-05-10,2020,2,5,May,10,131,7,19,Sunday,Q2,May,2020-05
20200511,2020-05-11,2020,2,5,May,11,132,1,20,Monday,Q2,May,2020-05
20200512,2020-05-12,2020,2,5,May,12,133,2,20,Tuesday,Q2,May,2020-05
20200513,2020-05-13,2020,2,5,May,13,134,3,20,Wednesday,Q2,May,2020-05
20200514,2020-05-14,2020,2,5,May,14,135,4,20,Thursday,Q2,May,2020-05
20200515,2020-05-15,2020,2,5,May,15,136,5,20,Friday,Q2,May,2020-05
20200516,2020-05-16,2020,2,5,May,16,137,6,20,Saturday,Q2,May,2020-05
20200517,2020-05-17,2020,2,5,May,17,138,7,20,Sunday,Q2,May,2020-05
20200518,2020-05-18,2020,2,5,May,18,139,1,21,Monday,Q2,May,2020-05
20200519,2020-05-19,2020,2,5,May,19,140,2,21,Tuesday,Q2,May,2020-05
20200520,2020-05-20,2020,2,5,May,20,141,3,21,Wednesday,Q2,May,2020-05
20200521,2020-05-21,2020,2,5,May,21,142,4,21,Thursday,Q2,May,2020-05
20200522,2020-05-22,2020,2,5,May,22,143,5,21,Friday,Q2,May,2020-05
20200523,2020-05-23,2020,2,5,May,23,144,6,21,Saturday,Q2,May,2020-05
20200524,2020-05-24,2020,2,5,May,24,145,7,21,Sunday,Q2,May,2020-05
20200525,2020-05-25,2020,2,5,May,25,146,1,22,Monday,Q2,May,2020-05
20200526,2020-05-26,2020,2,5,May,26,147,2,22,Tuesday,Q2,May,2020-05
20200527,2020-05-27,2020,2,5,May,27,148,3,22,Wednesday,Q2,May,2020-05
20200528,2020-05-28,2020,2,5,May,28,149,4,22,Thursday,Q2,May,2020-05
20200529,2020-05-29,2020,2,5,May,29,150,5,22,Friday,Q2,May,2020-05
20200530,2020-05-30,2020,2,5,May,30,151,6,22,Saturday,Q2,May,2020-05
20200531,2020-05-31,2020,2,5,May,31,152,7,22,Sunday,Q2,May,2020-05
20200601,2020-06-01,2020,2,6,June,1,153,1,23,Monday,Q2,Jun,2020-06
20200602,2020-06-02,2020,2,6,June,2,154,2,23,Tuesday,Q2,Jun,2020-06
20200603,2020-06-03,2020,2,6,June,3,155,3,23,Wednesday,Q2,Jun,2020-06
20200604,2020-06-04,2020,2,6,June,4,156,4,23,Thursday,Q2,Jun,2020-06
20200605,2020-06-05,2020,2,6,June,5,157,5,23,Friday,Q2,Jun,2020-06
20200606,2020-06-06,2020,2,6,June,6,158,6,23,Saturday,Q2,Jun,2020-06
20200607,2020-06-07,2020,2,6,June,7,159,7,23,Sunday,Q2,Jun,2020-06
20200608,2020-06-08,2020,2,6,June,8,160,1,24,Monday,Q2,Jun,2020-06
20200609,2020-06-09,2020,2,6,June,9,161,2,24,Tuesday,Q2,Jun,2020-06
20200610,2020-06-10,2020,2,6,June,10,162,3,24,Wednesday,Q2,Jun,2020-06
20200611,2020-06-11,2020,2,6,June,11,163,4,24,Thursday,Q2,Jun,2020-06
20200612,2020-06-12,2020,2,6,June,12,164,5,24,Friday,Q2,Jun,2020-06
20200613,2020-06-13,2020,2,6,June,13,165,6,24,Saturday,Q2,Jun,2020-06
20200614,2020-06-14,2020,2,6,June,14,166,7,24,Sunday,Q2,Jun,2020-06
20200615,2020-06-15,2020,2,6,June,15,167,1,25,Monday,Q2,Jun,2020-06
20200616,2020-06-16,2020,2,6,June,16,168,2,25,Tuesday,Q2,Jun,2020-06
20200617,2020-06-17,2020,2,6,June,17,169,3,25,Wednesday,Q2,Jun,2020-06
20200618,2020-06-18,2020,2,6,June,18,170,4,25,Thursday,Q2,Jun,2020-06
20200619,2020-06-19,2020,2,6,June,19,171,5,25,Friday,Q2,Jun,2020-06
20200620,2020-06-20,2020,2,6,June,20,172,6,25,Saturday,Q2,Jun,2020-06
20200621,2020-06-21,2020,2,6,June,21,173,7,25,Sunday,Q2,Jun,2020-06
20200622,2020-06-22,2020,2,6,June,22,174,1,26,Monday,Q2,Jun,2020-06
20200623,2020-06-23,2020,2,6,June,23,175,2,26,Tuesday,Q2,Jun,2020-06
20200624,2020-06-24,2020,2,6,June,24,176,3,26,Wednesday,Q2,Jun,2020-06
20200625,2020-06-25,2020,2,6,June,25,177,4,26,Thursday,Q2,Jun,2020-06
20200626,2020-06-26,2020,2,6,June,26,178,5,26,Friday,Q2,Jun,2020-06
20200627,2020-06-27,2020,2,6,June,27,179,6,26,Saturday,Q2,Jun,2020-06
20200628,2020-06-28,2020,2,6,June,28,180,7,26,Sunday,Q2,Jun,2020-06
20200629,2020-06-29,2020,2,6,June,29,181,1,27,Monday,Q2,Jun,2020-06
20200630,2020-06-30,2020,2,6,June,30,182,2,27,Tuesday,Q2,Jun,2020-06
20200701,2020-07-01,2020,3,7,July,1,183,3,27,Wednesday,Q3,Jul,2020-07
20200702,2020-07-02,2020,3,7,July,2,184,4,27,Thursday,Q3,Jul,2020-07
20200703,2020-07-03,2020,3,7,July,3,185,5,27,Friday,Q3,Jul,2020-07
20200704,2020-07-04,2020,3,7,July,4,186,6,27,Saturday,Q3,Jul,2020-07
20200705,2020-07-05,2020,3,7,July,5,187,7,27,Sunday,Q3,Jul,2020-07
20200706,2020-07-06,2020,3,7,July,6,188,1,28,Monday,Q3,Jul,2020-07
20200707,2020-07-07,2020,3,7,July,7,189,2,28,Tuesday,Q3,Jul,2020-07
20200708,2020-07-08,2020,3,7,July,8,190,3,28,Wednesday,Q3,Jul,2020-07
20200709,2020-07-09,2020,3,7,July,9,191,4,28,Thursday,Q3,Jul,2020-07
20200710,2020-07-10,2020,3,7,July,10,192,5,28,Friday,Q3,Jul,2020-07
20200711,2020-07-11,2020,3,7,July,11,193,6,28,Saturday,Q3,Jul,2020-07
20200712,2020-07-12,2020,3,7,July,12,194,7,28,Sunday,Q3,Jul,2020-07
20200713,2020-07-13,2020,3,7,July,13,195,1,29,Monday,Q3,Jul,2020-07
20200714,2020-07-14,2020,3,7,July,14,196,2,29,Tuesday,Q3,Jul,2020-07
20200715,2020-07-15,2020,3,7,July,15,197,3,29,Wednesday,Q3,Jul,2020-07
20200716,2020-07-16,2020,3,7,July,16,198,4,29,Thursday,Q3,Jul,2020-07
20200717,2020-07-17,2020,3,7,July,17,199,5,29,Friday,Q3,Jul,2020-07
20200718,2020-07-18,2020,3,7,July,18,200,6,29,Saturday,Q3,Jul,2020-07
20200719,2020-07-19,2020,3,7,July,19,201,7,29,Sunday,Q3,Jul,2020-07
20200720,2020-07-20,2020,3,7,July,20,202,1,30,Monday,Q3,Jul,2020-07
20200721,2020-07-21,2020,3,7,July,21,203,2,30,Tuesday,Q3,Jul,2020-07
20200722,2020-07-22,2020,3,7,July,22,204,3,30,Wednesday,Q3,Jul,2020-07
20200723,2020-07-23,2020,3,7,July,23,205,4,30,Thursday,Q3,Jul,2020-07
20200724,2020-07-24,2020,3,7,July,24,206,5,30,Friday,Q3,Jul,2020-07
20200725,2020-07-25,2020,3,7,July,25,207,6,30,Saturday,Q3,Jul,2020-07
20200726,2020-07-26,2020,3,7,July,26,208,7,30,Sunday,Q3,Jul,2020-07
20200727,2020-07-27,2020,3,7,July,27,209,1,31,Monday,Q3,Jul,2020-07
20200728,2020-07-28,2020,3,7,July,28,210,2,31,Tuesday,Q3,Jul,2020-07
20200729,2020-07-29,2020,3,7,July,29,211,3,31,Wednesday,Q3,Jul,2020-07
20200730,2020-07-30,2020,3,7,July,30,212,4,31,Thursday,Q3,Jul,2020-07
20200731,2020-07-31,2020,3,7,July,31,213,5,31,Friday,Q3,Jul,2020-07
20200801,2020-08-01,2020,3,8,August,1,214,6,31,Saturday,Q3,Aug,2020-08
20200802,2020-08-02,2020,3,8,August,2,215,7,31,Sunday,Q3,Aug,2020-08
20200803,2020-08-03,2020,3,8,August,3,216,1,32,Monday,Q3,Aug,2020-08
20200804,2020-08-04,2020,3,8,August,4,217,2,32,Tuesday,Q3,Aug,2020-08
20200805,2020-08-05,2020,3,8,August,5,218,3,32,Wednesday,Q3,Aug,2020-08
20200806,2020-08-06,2020,3,8,August,6,219,4,32,Thursday,Q3,Aug,2020-08
20200807,2020-08-07,2020,3,8,August,7,220,5,32,Friday,Q3,Aug,2020-08
20200808,2020-08-08,2020,3,8,August,8,221,6,32,Saturday,Q3,Aug,2020-08
20200809,2020-08-09,2020,3,8,August,9,222,7,32,Sunday,Q3,Aug,2020-08
20200810,2020-08-10,2020,3,8,August,10,223,1,33,Monday,Q3,Aug,2020-08
20200811,2020-08-11,2020,3,8,August,11,224,2,33,Tuesday,Q3,Aug,2020-08
20200812,2020-08-12,2020,3,8,August,12,225,3,33,Wednesday,Q3,Aug,2020-08
20200813,2020-08-13,2020,3,8,August,13,226,4,33,Thursday,Q3,Aug,2020-08
20200814,2020-08-14,2020,3,8,August,14,227,5,33,Friday,Q3,Aug,2020-08
20200815,2020-08-15,2020,3,8,August,15,228,6,33,Saturday,Q3,Aug,2020-08
20200816,2020-08-16,2020,3,8,August,16,229,7,33,Sunday,Q3,Aug,2020-08
20200817,2020-08-17,2020,3,8,August,17,230,1,34,Monday,Q3,Aug,2020-08
20200818,2020-08-18,2020,3,8,August,18,231,2,34,Tuesday,Q3,Aug,2020-08
20200819,2020-08-19,2020,3,8,August,19,232,3,34,Wednesday,Q3,Aug,2020-08
20200820,2020-08-20,2020,3,8,August,20,233,4,34,Thursday,Q3,Aug,2020-08
20200821,2020-08-21,2020,3,8,August,21,234,5,34,Friday,Q3,Aug,2020-08
20200822,2020-08-22,2020,3,8,August,22,235,6,34,Saturday,Q3,Aug,2020-08
20200823,2020-08-23,2020,3,8,August,23,236,7,34,Sunday,Q3,Aug,2020-08
20200824,2020-08-24,2020,3,8,August,24,237,1,35,Monday,Q3,Aug,2020-08
20200825,2020-08-25,2020,3,8,August,25,238,2,35,Tuesday,Q3,Aug,2020-08
20200826,2020-08-26,2020,3,8,August,26,239,3,35,Wednesday,Q3,Aug,2020-08
20200827,2020-08-27,2020,3,8,August,27,240,4,35,Thursday,Q3,Aug,2020-08
20200828,2020-08-28,2020,3,8,August,28,241,5,35,Friday,Q3,Aug,2020-08
20200829,2020-08-29,2020,3,8,August,29,242,6,35,Saturday,Q3,Aug,2020-08
20200830,2020-08-30,2020,3,8,August,30,243,7,35,Sunday,Q3,Aug,2020-08
20200831,2020-08-31,2020,3,8,August,31,244,1,36,Monday,Q3,Aug,2020-08
20200901,2020-09-01,2020,3,9,September,1,245,2,36,Tuesday,Q3,Sep,2020-09
20200902,2020-09-02,2020,3,9,September,2,246,3,36,Wednesday,Q3,Sep,2020-09
20200903,2020-09-03,2020,3,9,September,3,247,4,36,Thursday,Q3,Sep,2020-09
20200904,2020-09-04,2020,3,9,September,4,248,5,36,Friday,Q3,Sep,2020-09
20200905,2020-09-05,2020,3,9,September,5,249,6,36,Saturday,Q3,Sep,2020-09
20200906,2020-09-06,2020,3,9,September,6,250,7,36,Sunday,Q3,Sep,2020-09
20200907,2020-09-07,2020,3,9,September,7,251,1,37,Monday,Q3,Sep,2020-09
20200908,2020-09-08,2020,3,9,September,8,252,2,37,Tuesday,Q3,Sep,2020-09
20200909,2020-09-09,2020,3,9,September,9,253,3,37,Wednesday,Q3,Sep,2020-09
20200910,2020-09-10,2020,3,9,September,10,254,4,37,Thursday,Q3,Sep,2020-09
20200911,2020-09-11,2020,3,9,September,11,255,5,37,Friday,Q3,Sep,2020-09
20200912,2020-09-12,2020,3,9,September,12,256,6,37,Saturday,Q3,Sep,2020-09
20200913,2020-09-13,2020,3,9,September,13,257,7,37,Sunday,Q3,Sep,2020-09
20200914,2020-09-14,2020,3,9,September,14,258,1,38,Monday,Q3,Sep,2020-09
20200915,2020-09-15,2020,3,9,September,15,259,2,38,Tuesday,Q3,Sep,2020-09
20200916,2020-09-16,2020,3,9,September,16,260,3,38,Wednesday,Q3,Sep,2020-09
20200917,2020-09-17,2020,3,9,September,17,261,4,38,Thursday,Q3,Sep,2020-09
20200918,2020-09-18,2020,3,9,September,18,262,5,38,Friday,Q3,Sep,2020-09
20200919,2020-09-19,2020,3,9,September,19,263,6,38,Saturday,Q3,Sep,2020-09
20200920,2020-09-20,2020,3,9,September,20,264,7,38,Sunday,Q3,Sep,2020-09
20200921,2020-09-21,2020,3,9,September,21,265,1,39,Monday,Q3,Sep,2020-09
20200922,2020-09-22,2020,3,9,September,22,266,2,39,Tuesday,Q3,Sep,2020-09
20200923,2020-09-23,2020,3,9,September,23,267,3,39,Wednesday,Q3,Sep,2020-09
20200924,2020-09-24,2020,3,9,September,24,268,4,39,Thursday,Q3,Sep,2020-09
20200925,2020-09-25,2020,3,9,September,25,269,5,39,Friday,Q3,Sep,2020-09
20200926,2020-09-26,2020,3,9,September,26,270,6,39,Saturday,Q3,Sep,2020-09
20200927,2020-09-27,2020,3,9,September,27,271,7,39,Sunday,Q3,Sep,2020-09
20200928,2020-09-28,2020,3,9,September,28,272,1,40,Monday,Q3,Sep,2020-09
20200929,2020-09-29,2020,3,9,September,29,273,2,40,Tuesday,Q3,Sep,2020-09
20200930,2020-09-30,2020,3,9,September,30,274,3,40,Wednesday,Q3,Sep,2020-09
20201001,2020-10-01,2020,4,10,October,1,275,4,40,Thursday,Q4,Oct,2020-10
20201002,2020-10-02,2020,4,10,October,2,276,5,40,Friday,Q4,Oct,2020-10
20201003,2020-10-03,2020,4,10,October,3,277,6,40,Saturday,Q4,Oct,2020-10
20201004,2020-10-04,2020,4,10,October,4,278,7,40,Sunday,Q4,Oct,2020-10
20201005,2020-10-05,2020,4,10,October,5,279,1,41,Monday,Q4,Oct,2020-10
20201006,2020-10-06,2020,4,10,October,6,280,2,41,Tuesday,Q4,Oct,2020-10
20201007,2020-10-07,2020,4,10,October,7,281,3,41,Wednesday,Q4,Oct,2020-10
20201008,2020-10-08,2020,4,10,October,8,282,4,41,Thursday,Q4,Oct,2020-10
20201009,2020-10-09,2020,4,10,October,9,283,5,41,Friday,Q4,Oct,2020-10
20201010,2020-10-10,2020,4,10,October,10,284,6,41,Saturday,Q4,Oct,2020-10
20201011,2020-10-11,2020,4,10,October,11,285,7,41,Sunday,Q4,Oct,2020-10
20201012,2020-10-12,2020,4,10,October,12,286,1,42,Monday,Q4,Oct,2020-10
20201013,2020-10-13,2020,4,10,October,13,287,2,42,Tuesday,Q4,Oct,2020-10
20201014,2020-10-14,2020,4,10,October,14,288,3,42,Wednesday,Q4,Oct,2020-10
20201015,2020-10-15,2020,4,10,October,15,289,4,42,Thursday,Q4,Oct,2020-10
20201016,2020-10-16,2020,4,10,October,16,290,5,42,Friday,Q4,Oct,2020-10
20201017,2020-10-17,2020,4,10,October,17,291,6,42,Saturday,Q4,Oct,2020-10
20201018,2020-10-18,2020,4,10,October,18,292,7,42,Sunday,Q4,Oct,2020-10
20201019,2020-10-19,2020,4,10,October,19,293,1,43,Monday,Q4,Oct,2020-10
20201020,2020-10-20,2020,4,10,October,20,294,2,43,Tuesday,Q4,Oct,2020-10
20201021,2020-10-21,2020,4,10,October,21,295,3,43,Wednesday,Q4,Oct,2020-10
20201022,2020-10-22,2020,4,10,October,22,296,4,43,Thursday,Q4,Oct,2020-10
20201023,2020-10-23,2020,4,10,October,23,297,5,43,Friday,Q4,Oct,2020-10
20201024,2020-10-24,2020,4,10,October,24,298,6,43,Saturday,Q4,Oct,2020-10
20201025,2020-10-25,2020,4,10,October,25,299,7,43,Sunday,Q4,Oct,2020-10
20201026,2020-10-26,2020,4,10,October,26,300,1,44,Monday,Q4,Oct,2020-10
20201027,2020-10-27,2020,4,10,October,27,301,2,44,Tuesday,Q4,Oct,2020-10
20201028,2020-10-28,2020,4,10,October,28,302,3,44,Wednesday,Q4,Oct,2020-10
20201029,2020-10-29,2020,4,10,October,29,303,4,44,Thursday,Q4,Oct,2020-10
